Subject	Department
Query about product availability	Sales
Complaint about delivery delay	CustomerService
Request for refund	Finance
Question about billing statement	Billing
Technical support needed	IT
Inquiry about job openings	HR
Feedback on recent purchase	QualityAssurance
Proposal for collaboration	BusinessDevelopment
Report of security vulnerability	Security
Request for	Marketing materials	Marketing
Complaint about product quality	QualityAssurance
Query about order status   CustomerService
Request for software upgrade	IT
Inquiry about benefits  HR
Complaint about billing error   Billing
Request for partnership	BusinessDevelopment
Query about return policy  CustomerService
Technical issue with website IT
Proposal for new project	BusinessDevelopment
Feedback on CustomerService CustomerService
Request for quotation   Sales
Query about company policy HR
Complaint about damaged goods	CustomerService
Inquiry about training opportunities HR
Report of data breach   Security
Request for advertising materials	Marketing
Question about network security   Security
Technical support for software   IT
Proposal for	Marketing campaign  	Marketing
Complaint about employee behavior  HR
Query about pricing Sales
Feedback on website usability	IT
Request for vacation leave   HR
Question about insurance policy  Finance
Inquiry about career advancement HR
Report of phishing email	Security
Request for product demonstration	Sales
Complaint about shipping delay  CustomerService
Query about inventory status Sales
Feedback on product design	QualityAssurance
Technical issue with software	IT
Proposal for strategic partnership	BusinessDevelopment
Complaint about service quality  CustomerService
Query about warranty   CustomerService
Request for budget approval Finance
Question about retirement plan	HR
Inquiry about company culture	HR
Report of suspicious activity	Security
Request for social media	Marketing assistance	Marketing
Complaint about pricing   Sales
Feedback on delivery process	CustomerService
Technical support for hardware   IT
Proposal for product enhancement QualityAssurance
Query about product specifications   Sales
Request for billing assistance  Billing
Question about performance evaluation   HR
Inquiry about employee benefits	HR
Report of malware infection  Security
Request for promotional materials	Marketing
Complaint about return policy   CustomerService
Query about shipping rates  Sales
Feedback on customer satisfaction CustomerService
Technical issue with email server	IT
Proposal for event sponsorship  	Marketing
Complaint about refund process	Finance
Request for software update   IT
Question about job application process  HR
Inquiry about employee training   HR
Report of suspicious package  Security
Request for advertising campaign assistance 	Marketing
Complaint about product availability   Sales
Query about delivery options Sales
Feedback on billing process  Billing
Technical support for network   IT
Proposal for partnership agreement  	BusinessDevelopment
Complaint about employee benefits   HR
Request for pricing information   Sales
Question about performance metrics	HR
Inquiry about company policies   HR
Report of security breach	Security
Request for	Marketing strategy  	Marketing
Complaint about website functionality   IT
Query about product features Sales
Feedback on product performance QualityAssurance
Technical issue with application	IT
Proposal for new business venture	BusinessDevelopment
Complaint about performance appraisal   HR
Request for quotation approval   Finance
Question about sick leave policy	HR
Inquiry about workplace diversity   HR
Report of phishing attempt  Security
Request for branding materials  	Marketing
Complaint about order processing	Sales
Query about product availability status	Sales
Feedback on technical support   IT
Technical support for database   IT
Proposal for joint venture  	BusinessDevelopment
Complaint about training program	HR
Request for contract renewal Finance
Question about maternity leave   HR
Inquiry about company benefits	HR
Report of security incident  Security
Request for advertising strategy assistance  	Marketing
Complaint about CustomerService  CustomerService
Query about delivery schedule   Sales
Feedback on	Marketing campaign  	Marketing
Technical issue with network connectivity   IT
Proposal for product launch 	BusinessDevelopment
Complaint about workplace environment  HR
Request for project funding Finance
Question about parental leave   HR
Inquiry about vacation policy	HR
Report of data breach attempt	Security
Request for social media campaign assistance	Marketing
